id,tag,sistema,descripcion,ubicacion,especialidad,categoria,responsable,fecha_elevado,fecha_prog_cierre,fecha_real_cierre,estado,observaciones,referente_cierre
"0,""6""""-PW-814030"",AI72-18-01 / SUMIDEDO: FLOWLINE FLEXI-PIPE,Completar tapada en lado planta.,Salida de EPF,Piping (P),B,Construcciones,2026-04-26,2026-04-27,2026-04-28,CERRADO,,"
"1,""6""""-PW-814030"",AI72-18-01 / SUMIDEDO: FLOWLINE FLEXI-PIPE,Pendiente completar instalación de cable localizador del ducto.,Salida de EPF,Piping (P),C,Construcciones,2026-04-26,2026-04-27,2026-04-29,CERRADO,,"
"2,""6""""-PW-813030"",AI71-18-02/ SUMIDERO: FLOWLINE FLEXI-PIPE A POZO S-1021 (PO#5),Pendiente tapada en extremo vinculado a Anexo,Salida de EPF,Piping (P),B,Construcciones,2026-06-06,2026-06-09,2026-06-09,CERRADO,Por Karina Centeno,"
"3,""6""""-PW-813030"",AI71-18-02/ SUMIDERO: FLOWLINE FLEXI-PIPE A POZO S-1021 (PO#5),Pendiente tapada en extremo vinculado a S-1021,Sumidero S-1021,Piping (P),B,Construcciones,2026-06-06,2026-06-09,2026-06-09,CERRADO,Por Karina Centeno,"
"4,""6""""-PW-814030"",AI72-18-01 / SUMIDEDO: FLOWLINE FLEXI-PIPE,Colocar aislación en brida (Protección mecánica),Salida de EPF,Piping (P),C,Construcciones,2026-04-26,2026-06-15,,ABIERTO,Pendiente ejecución.,Sebastian Astorgas"
"5,""6""""-PW-813030"",AI71-18-02/ SUMIDERO: FLOWLINE FLEXI-PIPE A POZO S-1021 (PO#5),Restablecer cerco perimetral movil en Sumidero S-1021,Sumidero S-1021,Piping (P),C,Construcciones,2026-06-06,2026-06-18,2026-07-26,CERRADO,Por Andres Gómez,"
"6,""6""""-PW-816030"",AI71-18-03/ SUMIDERO: FLOWLINE FLEXI-PIPE A POZO S-1071 (PO#6),Restablecer cerco perimetral movil en Sumidero S-1071,Sumidero S-1071,Piping (P),C,Construcciones,2026-06-17,2026-06-18,2026-06-18,CERRADO,Por Karina Centeno,"
"7,""6""""-PW-816030"",AI71-18-03/ SUMIDERO: FLOWLINE FLEXI-PIPE A POZO S-1071 (PO#6),Reacondicionar piso de sumidero S-1071 con gravilla.,Sumidero S-1071,Piping (P),C,Construcciones,2026-06-17,2026-06-18,2026-06-18,CERRADO,Por Karina Centeno,"
"8,""6""""-PW-816030"",AI71-18-03/ SUMIDERO: FLOWLINE FLEXI-PIPE A POZO S-1071 (PO#6),Colocar barrera provisoria en anexo B en la zona de vinculación.,Anexo Bin B,Piping (P),C,Construcciones,2026-06-17,2026-06-18,2026-06-23,CERRADO,Por Andres Gómez,"
"9,3-PG-1301103,""AI71-01-03: Procesamiento de hidrocarburos C1A - C1A Gas Lift (3"""")"",Pendiente completamiento de la protección catódica,General,Piping (P),C,Construcciones,2026-06-28,,,ABIERTO,Se cierra cuando se complete la instalación del sistema definitivo de proteccion catódica,Kinkuro"
